"","V1","V2","V3","V4","V5"
"128","FAM92B","FAM92B","0","0","FALSE"
"129","FAM92B","FAM92B","0","0","FALSE"
"130","FAM92B","FAM216B","0","0","FALSE"
"131","FAM92B","ADGB","0","0","FALSE"
"132","FAM92B","CCDC33","0","0","FALSE"
"133","FAM92B","AC104809_3","0","0","FALSE"
"134","FAM92B","NTS","0","0","FALSE"
"135","FAM92B","FAM216B","0","0","FALSE"
"136","FAM92B","FAM92B","0","0","FALSE"
"137","FAM92B","C18orf42","0","0","FALSE"
"138","FAM92B","SERPINA3","0","0","FALSE"
"139","FAM92B","ADGB","0","0","FALSE"
"140","FAM92B","FAM92B","0","0","FALSE"
"141","FAM92B","AC104809_3","0","0","FALSE"
"142","FAM92B","CLIC6","0","0","FALSE"
"143","FAM92B","FAM216B","0","0","FALSE"
"144","FAM92B","FAM92B","0","0","FALSE"
"145","FAM92B","FAM92B","0","0","FALSE"
"146","FAM92B","FAM216B","0","0","FALSE"
"147","FAM92B","ADGB","0","0","FALSE"
"148","FAM92B","CCDC33","0","0","FALSE"
"149","FAM92B","AC104809_3","0","0","FALSE"
"150","FAM92B","NTS","0","0","FALSE"
"151","FAM92B","FAM216B","0","0","FALSE"
"152","FAM92B","FAM92B","0","0","FALSE"
"153","FAM92B","FAM92B","0","0","FALSE"
"154","COL6A5","C18orf42","0","0","FALSE"
"155","COL6A5","SERPINA3","0","0","FALSE"
"156","COL6A5","ADGB","0","0","FALSE"
"157","COL6A5","FAM92B","0","0","FALSE"
"158","COL6A5","AC104809_3","0","0","FALSE"
"159","COL6A5","CLIC6","0","0","FALSE"
"160","COL6A5","FAM216B","0","0","FALSE"
"161","COL6A5","FAM92B","0","0","FALSE"
"162","COL6A5","FAM92B","0","0","FALSE"
"163","COL6A5","FAM216B","0","0","FALSE"
"164","COL6A5","ADGB","0","0","FALSE"
"165","COL6A5","CCDC33","0","0","FALSE"
"166","COL6A5","AC104809_3","0","0","FALSE"
"167","COL6A5","NTS","0","0","FALSE"
"168","COL6A5","FAM216B","0","0","FALSE"
"169","COL6A5","FAM92B","0","0","FALSE"
"170","COL6A5","FAM92B","0","0","FALSE"
"171","COL6A5","COL6A5","0","0","FALSE"
"172","EGR1","C18orf42","0","0","FALSE"
"173","EGR1","SERPINA3","0","0","FALSE"
"174","EGR1","ADGB","0","0","FALSE"
"175","EGR1","FAM92B","0","0","FALSE"
"176","EGR1","AC104809_3","0","0","FALSE"
"177","EGR1","CLIC6","0","0","FALSE"
"178","EGR1","FAM216B","0","0","FALSE"
"179","EGR1","FAM92B","0","0","FALSE"
"180","EGR1","FAM92B","0","0","FALSE"
"181","EGR1","FAM216B","0","0","FALSE"
"182","EGR1","ADGB","0","0","FALSE"
"183","EGR1","CCDC33","0","0","FALSE"
"184","EGR1","AC104809_3","0","0","FALSE"
"185","EGR1","NTS","0","0","FALSE"
"186","EGR1","FAM216B","0","0","FALSE"
"187","EGR1","FAM92B","0","0","FALSE"
"188","EGR1","FAM92B","0","0","FALSE"
"189","EGR1","COL6A5","0","0","FALSE"
"190","EGR1","EGR1","0","0","FALSE"
"191","LINGO2","C18orf42","0","0","FALSE"
"192","LINGO2","SERPINA3","0","0","FALSE"
"193","LINGO2","ADGB","0","0","FALSE"
"194","LINGO2","FAM92B","0","0","FALSE"
"195","LINGO2","AC104809_3","0","0","FALSE"
"196","LINGO2","CLIC6","0","0","FALSE"
"197","LINGO2","FAM216B","0","0","FALSE"
"198","LINGO2","FAM92B","0","0","FALSE"
"199","LINGO2","FAM92B","0","0","FALSE"
"200","LINGO2","FAM216B","0","0","FALSE"
"201","LINGO2","ADGB","0","0","FALSE"
"202","LINGO2","CCDC33","0","0","FALSE"
"203","LINGO2","AC104809_3","0","0","FALSE"
"204","LINGO2","NTS","0","0","FALSE"
"205","LINGO2","FAM216B","0","0","FALSE"
"206","LINGO2","FAM92B","0","0","FALSE"
"207","LINGO2","FAM92B","0","0","FALSE"
"208","LINGO2","COL6A5","0","0","FALSE"
"209","LINGO2","EGR1","0","0","FALSE"
"210","LINGO2","LINGO2","0","0","FALSE"
"211","RP11_438B23_2","C18orf42","0","0","FALSE"
"212","RP11_438B23_2","SERPINA3","0","0","FALSE"
"213","RP11_438B23_2","ADGB","0","0","FALSE"
"214","RP11_438B23_2","FAM92B","0","0","FALSE"
"215","RP11_438B23_2","AC104809_3","0","0","FALSE"
"216","RP11_438B23_2","CLIC6","0","0","FALSE"
"217","RP11_438B23_2","FAM216B","0","0","FALSE"
"218","RP11_438B23_2","FAM92B","0","0","FALSE"
"219","RP11_438B23_2","FAM92B","0","0","FALSE"
"220","RP11_438B23_2","FAM216B","0","0","FALSE"
"221","RP11_438B23_2","ADGB","0","0","FALSE"
"222","RP11_438B23_2","CCDC33","0","0","FALSE"
"223","RP11_438B23_2","AC104809_3","0","0","FALSE"
"224","RP11_438B23_2","NTS","0","0","FALSE"
"225","RP11_438B23_2","FAM216B","0","0","FALSE"
"226","RP11_438B23_2","FAM92B","0","0","FALSE"
"227","RP11_438B23_2","FAM92B","0","0","FALSE"
"228","RP11_438B23_2","COL6A5","0","0","FALSE"
"229","RP11_438B23_2","EGR1","0","0","FALSE"
"230","RP11_438B23_2","LINGO2","0","0","FALSE"
"231","RP11_438B23_2","RP11_438B23_2","0","0","FALSE"
"232","FAM216B","C18orf42","0","0","FALSE"
"233","FAM216B","SERPINA3","0","0","FALSE"
"234","FAM216B","ADGB","0","0","FALSE"
