"","x"
"1","Brain - Cortex"
"2","Brain - Cerebellum"
"3","Brain - Hippocampus"
"4","Brain - Substantia nigra"
"5","Brain - Anterior cingulate cortex (BA24)"
"6","Brain - Frontal Cortex (BA9)"
"7","Brain - Cerebellar Hemisphere"
"8","Brain - Caudate (basal ganglia)"
"9","Brain - Nucleus accumbens (basal ganglia)"
"10","Brain - Putamen (basal ganglia)"
"11","Brain - Hypothalamus"
"12","Brain - Spinal cord (cervical c-1)"
"13","Brain - Amygdala"
