source target value sign exists
CIDEA NTS 0.0632234779952135 1 TRUE
CIDEA COL6A5 0.0951590681623034 1 TRUE
CIDEA EGR1 0.0133111890608405 1 TRUE
CIDEA LINGO2 0.0403370817979457 -1 TRUE
CIDEA RP11_438B23_2 0.0521398118899557 1 TRUE
CIDEA FOSB 0.0799002406120627 -1 TRUE
CIDEA SLC5A7 0.0648514876888968 -1 TRUE
GP2 C18orf42 0.0293197082107636 -1 TRUE
GP2 SERPINA3 0.00957603380562632 1 TRUE
GP2 ADGB 0.0321281401438001 -1 TRUE
GP2 FAM92B 0.0496121106920799 -1 TRUE
GP2 AC104809_3 0.0203013389030674 -1 TRUE
GP2 CLIC6 0.00446575477504155 1 TRUE
GP2 FAM216B 0.00168859930364641 1 TRUE
GP2 CCDC33 0.0216821899090372 1 TRUE
GP2 NTS 0.0581384767314474 1 TRUE
GP2 COL6A5 0.0271914923189264 1 TRUE
GP2 EGR1 0.00599298547014188 -1 TRUE
GP2 LINGO2 0.0154613831220449 -1 TRUE
GP2 RP11_438B23_2 0.00286330263432024 1 TRUE
GP2 FOSB 0.00660680857333039 -1 TRUE
GP2 SLC5A7 0.0423157798902556 -1 TRUE
GP2 CIDEA 0.028619030790356 -1 TRUE
PRSS1 C18orf42 0.0108433590801991 -1 TRUE
PRSS1 SERPINA3 0.0319082528792571 1 TRUE
PRSS1 ADGB 0.00486816409235207 1 TRUE
PRSS1 FAM92B 0.0264870230397107 1 TRUE
PRSS1 AC104809_3 0.0469342389782175 1 TRUE
PRSS1 CLIC6 0.0401306809883575 -1 TRUE
PRSS1 FAM216B 0.0728350068575561 -1 TRUE
PRSS1 CCDC33 0.0374712716193324 1 TRUE
PRSS1 NTS 0.0151688439654481 -1 TRUE
PRSS1 COL6A5 0.0348727793216088 -1 TRUE
PRSS1 EGR1 0.0353080059645151 1 TRUE
PRSS1 LINGO2 0.00262876515904148 1 TRUE
PRSS1 RP11_438B23_2 0.0249618424377239 -1 TRUE
PRSS1 FOSB 0.0279122555292861 -1 TRUE
PRSS1 SLC5A7 0.024835506374078 -1 TRUE
PRSS1 CIDEA 0.00335922163130563 1 TRUE
PRSS1 GP2 1.39171859982378 -1 TRUE
UPK1B C18orf42 0.0323097353018094 -1 TRUE
UPK1B SERPINA3 0.0454571812178692 1 TRUE
UPK1B ADGB 0.0178533616391489 -1 TRUE
UPK1B FAM92B 0.0578904116809072 -1 TRUE
UPK1B AC104809_3 0.0256716868810678 -1 TRUE
UPK1B CLIC6 0.0203633519463846 1 TRUE
UPK1B FAM216B 0.104306164432122 -1 TRUE
UPK1B CCDC33 0.0585880973680464 1 TRUE
UPK1B NTS 0.00991568029964016 1 TRUE
UPK1B COL6A5 0.0332441902215619 -1 TRUE
UPK1B EGR1 0.00707662088211489 -1 TRUE
UPK1B LINGO2 0.00303408182702506 -1 TRUE
UPK1B RP11_438B23_2 0.0133411313008163 1 TRUE
UPK1B FOSB 0.203086603102928 -1 TRUE
UPK1B SLC5A7 0.0547521273426458 1 TRUE
UPK1B CIDEA 0.0522437632589736 -1 TRUE
UPK1B GP2 0.0231911539617613 -1 TRUE
UPK1B PRSS1 0.0657523715421169 -1 TRUE
