name,AVP,OXT,FAM216B,ADGB,HCRT,LMX1B,CCDC33,FAM92B,AC104809.3,CCDC60,PDYN,C4orf22,C1orf158,AC104809.2,PMCH,PIH1D3,CDHR4,TUBA4B,DNAH3,XIST,HDC,SST,SLC47A2,C11orf88,C9orf171,C20orf85,C9orf117,PITX2,MYLK3,GHRH,NTS,ENSG00000261788,SLC17A6,LRRC71,SLC5A7,GLRA3,SCGN,FAM81B,SPAG6,LRRC74B,TH,CPA1,CFAP45,TTC6,GPR144,DNAI2,MAP3K19,GSTM1,SLC6A3,SIX6,PVALB,CCDC42B,TLX3,LINC00261,TRPM1,WDR63,OTP,TESPA1,ADAMTS18,BMP3,BARHL1,LBX1-AS1,GABRA6,FOSB,LHX9,CATSPERD,EFCAB1,PGC,TTR,LRRC18,ZBED2,FOXG1,KRT13,NPAS4,PENK,CNGB1,P2RX2,SPAG17,ENSG00000273087,CSN1S1,DCLK3,AC009014.3,CAMKV,LRTM2,TUNAR,ZP2,CCDC114,TEKT1,RP11-438B23.2,SNTN,CLDN19,C22orf42,PRL,CALB1,CHRM5,CRH,TRH,NR5A1,CPNE4,ATP4B,PRR35,LBX1,FOXA1,LL0XNC01-16G2.1,CASR,FOXA2,LRRC46,TAC1,LINC01007,LINC00507,KB-1517D11.4,C11orf87,RP5-912I13.1,AF003625.3,RP11-356C4.5,SYNPR,VWA5B1,NPY,DNAAF3,MAPK15,NEUROD1,NTSR1,ANKRD34B,HCN4,CHRM2,EBF3,GPR50,CCNA1,CCKAR,HTR5A,CHRNA2,ENSG00000266045,AGR3,PNOC,TTC29,CHGA,KCNS2,LGR6,RP11-547D24.1,EGR4,WBSCR28,KRT31,GUCA1C,RP11-100M12.3,CD164L2,LINGO2,NEUROD6,EBF2,ISL1,CXCL13,ENSG00000204466,EGFL6,PAX5,MUC7,SCGB2A1,TEKT4,ENSG00000184674,MIR124-2HG,FAM166B,FAM163A,CCBE1,LPPR3,BARHL2,PAX2,FAM163B,CACNG3,SYT5,GRIN1,KCNC2,TTLL10,CCDC37,CLIC6,EGR1,OTOF,COL6A5,FAM71E2,GNG13,MTND4P12,SLC22A8,NLRP4,SLC22A31,FEZF1,FIBCD1,LINC01551,SERPINA3,PZP,GABRA4,LPAR3,GLRA2,SLC35D3,NEUROD2,GAD2,AGBL2,HTR5A-AS1,TNNT2,SLC35F4,MARCH4,NPTX1,CARTPT,C1orf87,SERTM1,OPRK1,COL2A1,FADS6,ROPN1L,KCNV1,DNAH11,SPATA31C1,LRRC38,CALCR,VWA3B,CTD-2023N9.3,SLC32A1,C9orf135,DDC,ANKRD20A19P,ALOX15B,NRK,NKX2-1,GH1,GAL,SLC27A6,HLA-DRB6,OTX2,SIX3,CLPS,SPATS1,PARPBP,LIPF,CFAP52,SLC17A7,RP11-678G14.3,CCDC108,FAM153B,CHRM3,INA,NTF3,DMRT3,CSF3,SLC30A3,PRKCG,TCERG1L,C1QL3,RIBC2,PITX3,ENTHD1,ANKRD30B,SYT4,SYT1,TBR1,RET,CYP1A1,KRT4,ATP1A3,CALY,FNDC1,GABRG2,NGB,LINC00890,SNX31,ENSG00000183473,ANKRD22,SYT13,HOXB8,C14orf39,GABRA1,NWD2,VGF,STC1,PCDH8,LPO,FAR2P4,STAP1,PTPRR,SATB2-AS1,ENSG00000132130,ENSG00000006074,PTGER3,CDH15,LRRC9,FSHB,GDA,TMEM130,MYH4,IRX5,LINC01561,LINC00473,SLC27A2,CTA-929C8.8,GABBR2,SLC12A5,VGLL2,RASSF6,NMU,KCNH6,CLPSL1,CLDN3,CRYM,IL2RA,CAMK1G
AVP,-0.00109169362480491,0.026120009385994,0,-0.0120083504421259,0,0,0,-0.0336795557876863,0,0,-0.0443737906667397,0,0.0085359982905294,-0.0179076862224663,0,0,-0.00788053101007642,0,-0.0241842755888648,0.0039109285056185,0,-0.027969204384893,0.0312355914245964,0,0.00639204548937023,0.0260920672650884,-0.00320199074166451,0,0,0,-0.00676258346983946,-0.0371639697196431,0.0152177686735711,0,0.00578331722729387,0.013723400214931,0,0,0,-0.0269893275127591,0.0240428620593028,-0.00245007752592626,0,0,0,-0.0942132319542712,-0.000252118073684153,0,0.00346161198286751,0,0,0,0,0,0.0231339210419347,0,-0.0116050260656679,0,0,-0.0217308177972593,-0.0345037494790148,0,0,-0.0355838111890971,0.0734695256593467,0,0,0,0.0227491665274495,0,-0.0177314226717673,-0.000521775949871245,-0.013835305290277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190848613142578,0.00915670527163307,0.00137818210144257,0,0.0276341252620845,0.0159710472266394,0,0,0.0631471330484587,0,0,-0.00510661134959113,0.0566925946421629,-0.0115943362063444,0.00391957721199913,0,0.0274431041311917,0,0,0.00858567692489895,-0.0501254440334134,-0.0229475496842056,0.0492324941951539,0,0,0,0,0.0159524492109665,-0.0362426298910205,0,-0.0164635954162867,0,0,0.00149437000369673,0,0,-0.00401703767498054,0,-0.000345771088434496,0,0,0,0.00541620893003421,0,0,0,0,0,0,0,0,0,0.0223184171434008,0,0,0,0,-0.00361291249170348,0,0.0426031046763243,0.000768933355393577,0.0321237626624782,0,0,0.0328663666015233,-0.00344017687564404,0,0,0,0.00391425377504215,0,0,0,0,-0.000736454752565192,0,0,0,0,0,-0.00688916392873693,0.00718004147339775,0,0,-0.0234876356014316,0,0,0,-0.0147028861532098,0.00564971032499514,0,-0.0107513180082138,0,0,0.0686369643726448,0,-0.000547240215822118,0,0,-0.00166206027614398,0.00399372308588572,-0.0247670040858457,0,0.0018779303911856,0,0,0,0.0225287285437442,0,0,-0.0251695186882225,0,0.0188742323762041,-0.0344821834681267,0,0.00315347792766981,0,-0.00151291471227021,0,-0.0316818727787326,-0.00224396615981628,0,0,0,0.0279812758353792,0,-0.0258635331920987,0,0.122229758219267,0,0,0,0.0135456221083959,0.0215619231833191,0,0,0.0254174831287796,0.0226937715516773,-0.00532544257977709,0,0,0,0,0.0410806186759215,0,0,-0.0139323648823099,0,0.00469593039316115,0,0,0,0.00645661699672078,0,-0.0353554779446473,0.00528085783807393,0,-0.0194893697296966,0,0,0,0,0,0,0,0,0,0,0,0.00402610136930886,0,0,0,0.00683424499236325,0,-0.0506393535740746,-0.00385842917703687,0,0.0189882571673415,0.0353116838068108,0,0,0.0327074193194538,0,0,0,0.0292285347305915,0,-0.0319138784270303,0,0.00333583524361014,0,0,0,0,0,0,0,0.00717385859489103,0,0,0,0,-0.0173684568316203,0.00305126830354415,0,0,0,0,0,-0.00699101975226915,0
OXT,0.026120009385994,0.057143111024022,0,-0.0152301192805151,0.00217734159843575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271626944542403,0.00350882811702412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000905792950736676,0,0,0,0.00293656435959777,0.0114140481619654,-0.0285606765433938,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322923072213513,0.00737432268332384,0,0,-0.0173906236284851,0,0,0,-0.0180951102058054,0,0,0,0,0,0,0,0,0.00676888628673002,0,0,0,0,-0.000440939734754993,0.016287925172013,0,0,0,0,0.0101972890608225,0,0,0,0,0,0,0,0,0,-0.0176401811483637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011899322927548,0,0,0,0,0,0,0,0,0,-0.026047476288367,0,0,-0.0151713242469951,0,0,0,0.018327901064874,0,0,0,-0.00149324147756358,0,0,0.0190023709787763,0,0,0,0,-0.0404951454289001,0,0.000328113978819952,0,0.00697429372871832,0,0,0,0,0,0,-0.0024886720188665,0.0198661254825623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0319205822748208,0,-0.0310721699236034,0,0,0.0150443192199427,0.0102337420414089,0,0,0,0,0,0,0,0,0,0,0.0012655284930578,0,0,0,-0.00292021922716282,0,0,0,-0.00227413409780212,0,0,0,-0.0117555763043847,0,0.014088438519427,0,0,0.0394778386256734,0,0,-0.00893686944312263,0,0,0.0379602720683592,0,0,0,-0.00270927253573728,-0.00036251825455263,0,-0.0130312005746271,0.0887390201112087,0,0,0,0,0,0,0,0,0,0,0,0,-0.0151071569328671,-0.0134873174548021,0,0,0,0,0,0,0,0,0,0.0285055731158046,0,0,0.0175424489604075,0,0,0,0,0,-0.00152549917225082,0,0,0,0,-0.00200130721747307,0,0,0,0.00249269347308513,0,0,0,0,0.00346827203691947,0.00449863784909701,0.0387728519393718,0,-0.0376383403886897,0,-0.0175344461570247,0,0,0.000318455950252114,0,0.0061512087856345,0,0,0.0135899570637059,0,0,0,0,0,0,0.00355864345549336,0,0.00133374731464952,0,0,-0.0172520427843792,0
FAM216B,0,0,-0.0470135646890106,0,0.0162680274825962,-0.00090790323434811,0,0,0,0,0,-0.019427733321761,0,0,0,-0.0164024335038195,-0.030960607596782,-0.0441476174365139,0,0,0,0,0.0429265453688332,0,0,0,0,0,0,0,0,0,0,0,0,-0.0199716037304902,0,0,-0.000845874222581571,-0.0385591640609599,0,0.0467466824855169,0,0,0,0.00119232151408383,0,0.0247841020051698,-0.0274465764542136,0.0490118795625546,0,0,0,0,0,0,0.0310120338253009,0,-0.0475855992101873,0,-0.00477838607655824,0,0,0,0,-0.0418790709503811,0,-0.0185318750988883,-0.0182160167698576,0,0,-0.0242418489211955,0,0,0,0,0.00873007549149395,-0.0156907283112921,-0.0102238760059511,0,0.0129549434299815,0,0,0,0,0,0,0,0,0,0,0,-0.0181386124337323,0,0,0,0,-9.76528423078417e-05,0,-0.00650052888984964,0.00407990781014834,0,-0.00448242752501311,0,0,0,0,0.0053380626419459,0,0,-0.033928758444474,0,0,0,0,0,0.00471116744672594,0,0,-0.0417432994799024,0,0,-0.0035947086358268,-0.00923702103693663,0,-0.0343371158648403,0,0,0.0140727577942059,0,0,0,0,0,0,0,0,0,0,0.0210591956499456,0,0,-0.0193348372749483,0,-0.0243433065449355,0,0,0,0,0,-0.012601727520685,0.00972346913608872,0,-0.00332737735190457,0,0,0,0,0,0,0,0.00731663672450166,0,-0.00129505383524411,0,0,0,0,0,0,0,0.00427395943132305,0,0,0,-0.00818038167740413,0,0,-0.0280023944528974,0,0,0,0,0.00107239074307232,0,0,0,-0.0134593903524861,0,0,0,0,0,0.00866136953715533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00683511406558432,0,0,-0.0463292594571812,0,0.0449685669126561,0,0,0,0,0,0,0.00915117851491587,0,0.00266395069158473,0.0483746212088481,0,-0.0587716331684532,0,0,0,0,0,0,0,0,0.00316977097391411,-0.0120363669007523,-0.0245790014206161,0.00616369623188215,0,0,0,0,0,-0.0198564787958705,0,0,0,0,0,0,0,0,0,0,0,0.046281481098039,0,0,0.0294799257794058,0,-0.0199042273443383,0,0,-0.0192573363820821,0.0362461912387773,0,0,0,0,0,0,-0.019912362532843,0,0,0,0,0,0,0,0,0,0,0,0,0.0183847682591167,0.00168043118968708,0,0,0,0,0.0231379119720029,0,0,0,0,0,0
ADGB,-0.0120083504421259,-0.0152301192805151,0,0.00634823832909951,0,0,0.0132995530829842,0,0.0348053837362512,0.00790951284467177,0,0.00621509451619537,0,0.00295468097530654,0,0.0044665780245412,0,0,0,-0.00590770606716519,0,0,0,0,0,0.032508095007026,0,0,0,0,0,0,0,0,0,0,-0.0128083126745468,0.0394676107586664,0.0154850613945553,-0.0207948076096335,0,0,-0.00313450667315403,0,0.00353564842759225,0,0,0.0187457187863454,-0.0451170436206409,0.00470134244754358,0,0,0,0,-0.0444338294389363,0,0.0346348147775156,0,0,0,0,0,0,0,-0.0237292403584922,0,0,0,0.0426204712218477,-0.0260116764607289,0,-0.000628371204965126,0,0.0145715804353743,0,0,0,0.00638673699960604,0,0,-0.00993663921114201,0,0,0.002550365971863,0.0241331794257207,0,0,0,0,0.00693411578674065,0,-0.0351009559956511,0,0,-0.0161606446421324,0.0164245637243583,0,0,0,0,-0.00703028885580607,0,0,0,0,0,0.00296062501841044,0,0,0,0,0,0,0,0,0,0,0,0,-0.0402549313457337,0,0,0,0,0,0,0,0.00710980102387283,0,0,0,0,0,0,0,0,-0.00516472781950427,0.0131038178980973,0.00351761584328437,0,0.0211357751475459,0,0,0,0,0,-0.0144760034924414,0,0,0,0,0.0102724720527444,0,-0.0272968687125676,0,0,0.0188968129527433,0,0,0.00981371300284523,-0.00461751391986827,0,-0.0360468669992364,-0.0123929317137696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000256548822448481,0,0,0,-0.0245472213995135,0,0,0,0,0,0,0,0,0,0.0281088486052471,0,0,0,0,0,0,0.0192246030002901,0,0,0.0196127000063102,0,0,0,0,0,0,0.000816866059936168,0,0,-0.0199564604238787,-0.00836946312592365,0,0,0,0,0,0.00476372948726811,0.000461994785498044,0,0,0,-0.0189376944058298,0,0,0,0,0,0.00258457250677998,0,0,0,-0.0317732286922575,0,-0.0123511141058278,-0.0163561673046441,0,0,0,0.0141355735753673,-0.00189965774244667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257166882347923,0.0176861952119184,0,-0.0197886322969625,0,-0.00799448307975597,0.0100567393449047,0,0,0.0293254700470697,0,0,0,0.0178666684151491,-0.00697058093149417,0,0,0,-0.0208858751525186,0,0,0,0.0119717620157665,0,0,0,0,0,0,0,0,0,0,0,0,0.0708257341060461,0,0,0,0,-0.0390121976639212,0
HCRT,0,0.00217734159843575,0.0162680274825962,0,0,0,0,0,0,0,0.00890974196159283,0,0,0,0,0.0214970088582863,0,0.0146765287208261,0,0.0291810189146723,-0.0390215444193921,-0.0462360271881009,0,0.0214687294599122,0,0,0,0,0,0,0,0,0,0,-0.0428685194346637,0,-0.00281652354506963,0,0.0201754062215594,0,0,0,0.0210584840379994,0,0,-0.019913522496288,0,-0.0443535133199993,-0.00470276717770271,0.00436600412706661,0,0,0,-0.0159219313031575,-0.028320408602377,0,0,0.0423183560318396,0,0,0,0.0116072892152727,0.00146133012046594,0.0588798657931194,0,0.0408426428430339,0,0.0137679038206234,0.0216151655456258,0,0,-0.0283462537979917,-0.0104018020418469,-0.00955889100774328,0,-0.0127301794127808,0,0.0133252505090352,0,0,0,0,0,0,0,0,0,0,-0.00058065737621457,0,0,0,0,0,0,0,0.0500700426094554,0,0,0,0,0,0,0,0.0329022585120432,0,0,0,-0.00240563568413882,-0.0784194179352029,0.00280766385228042,0,0,0,0,0,-0.0241408251308961,0,0,0.00429457902407622,0.0357066533325941,-0.0115989670069267,0,0,0,0,0,0,0,0,0.0167730280633352,0,-0.0209105446696362,0,0,0,-0.00264687742108702,-0.0100008320258023,0,0,0,0,0,0,0,0,0.0691569648855686,0,-0.0239286054698945,0,0,-0.00718982562530998,0.0129508160164494,0,0,0,-0.00766010925150651,0,0,-0.0100011107517674,-0.00169625104521117,0,0,0,0,0,0,0,-0.00422009305524892,0,0,0.00746065232567618,0.0355859824532961,-0.013983680433721,0,0,0.00813994313636593,0.0153692887044206,0,0,0.0266863092415951,0,-0.0157638536775437,0,0,0,-0.0251143720344317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0086724795975554,0.0255250187431459,0,0,0,0,-0.00475751075316618,0,0.000517293021801509,0,0,0,0,0,-0.0116441966152662,0,-0.00251444432895395,0.0288205554901472,0,0,0,-0.0453006032175062,0.04851776089518,0.010272314489685,0,0,0,0,0,-0.029857505516597,0,0,0,0.0308396354132663,0,0,-0.00512581450952723,0,0,-0.0129914497979944,0.00428657978299849,0,0,0,0,0,0,-0.0387004416010724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0190963645741423,0,0,0,0,0,-0.00432698835167872,-0.00954312445374422,0,0,0,0,0,0.000287118989780519,0,0,0,0,0,-0.000837332447530708,0,0.0243326843014868,0,-0.035233139377421,0,0,0,0,-0.0235059228557428,-0.000231970414010541
LMX1B,0,0,-0.00090790323434811,0,0,0.175308849159564,-0.00439268291606691,-0.00612669458648116,0,0,0,0,0,0,0,0,-0.0196976330532337,0,0,0.0312482819404461,0.0105653780049716,0,0,0,0,0,-0.000758401393620396,0.0268601684486724,0,0,0,-0.0212855010653169,0,0,0,-0.0153994238101238,0,0,0,0,-0.0451218195191145,0,0,-0.00802913562533391,0,0,0,0,-0.00753326063120139,0,0,-0.0141995303079973,0.0103053154243746,-0.0388610567153445,-0.00855375912629097,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107996886231224,0,0.0104158181150069,0,-0.00156993876597921,0,0,0,0,0,-0.00134708448842002,0,0,0,0,0,0,0,0,0,0,0.00523464238644605,0,0,0,0,0,0.00489820138143605,0.0264205417061279,0,0,0,0,0.00721221089947359,-0.0122377155925381,0,0,-0.0369312301192846,-0.0062463581870371,0.0197906738195118,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00751767134819534,0,-0.0124113347817096,0,0,0,0,-0.00443798897981832,0,0,-0.0199960114811582,0,0,0,0,0,-0.0051703605686335,0,0,0,0,0,0,0,0,0.015401664002285,0.0326053878502074,0,0,0,0.0311385966848728,0,0,0,-0.00510174737108738,0,0,0,0.0368371642945725,-0.0043831384321231,0,0,0.0149844496256783,0,0,0,0,0,0,0,0.000427562535009413,0,0,0,-0.0107527353071867,0,0.0377152239782751,0.00152657268152932,0.0097723419882918,0,-0.0440713568507749,0.00407434146980958,0,0,0,0,-0.00360456794323479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388545987972699,0,0,0,-0.00998674727338538,0,0,0,0,-0.048583656260876,0,0,-0.0134942542013461,0,-0.0142636002638565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00511944246984746,0,0,0,0,0,-0.0359525375482528,0,0,0,0,0,-0.0154534064458262,0,-0.00565605487932006,0,0,0,0,0,0,0,0,0,-0.00324471285240788,0.0331231927527695,0,-0.00470682508950335,0,0,0,0,-0.00955641357592391,0,0,0,0,0,0,0,0,0,0,0.0136953342525149,0,0,0,0,-0.0176803353700492,0,0,0,0,0,0,0,0,0,0,0.0135647607129605,0,0
CCDC33,0,0,0,0.0132995530829842,0,-0.00439268291606691,0,0.0101086414280599,0,0.00168211398981276,0.0126086566824238,0,0.00178682982666014,0.0126939994787189,0,0,0,0,0,0.0317600151810762,-0.0513318192229744,0,0.0435805373510935,0.0127944430679221,0,0,0,0.0206278579233421,0,0,0,0,0,0,0,0,0,0.00316902101000866,0.000519481934776264,-0.00195977818456531,0,0,0,0,0,0,0,-0.0452218141365679,0,0.00116474664619404,0,0,0,0,-0.0054935535805334,0,-0.0389293442309315,0,0,0.0517280305383041,0,0,0,-0.0187932345353637,0,0,0.00396795249219429,0,0,0,0.00488288566069896,0,-0.0127446276669106,0,-0.00965638855123621,0,-0.00867840693643275,0,0,0,0.0122071536857987,0,0,0,0,0,0,0,0,0,-0.0368449374813892,0,0,0,0,0,0.0177076579341011,0.0125226582939683,0,0.00797256763941618,0,0,0.00331566754911754,-0.000571772824730017,0,0.0133897973934653,0,0.00952464559127946,0,-0.00779713578720954,0,0,0.0047405034013888,0,0,0,0.0447535492327653,0,0,-0.0179019686841615,0,0,-0.00787522702186172,-0.00434271437679958,0.0146004660517601,0,0,0,0.0203946861220884,0,0,0,0,-0.000117205028058306,0.00802639878547698,-0.00229125428788545,0,0,-0.00118874659486535,0,0.0162090600582226,-0.0249909248044164,0,0,-0.000616482328014553,0,0.00560631110128453,0,-0.0528469152790607,0,0,0,0,0.00102794690521742,0,-0.0109002598153098,0,0,0,0,-0.00708460120024034,0,-0.050283547304219,0,0,0,0,0,-0.00959748523201912,0,0,0.0109739703634263,0,0,0,-0.0293017440254364,0,0.0861679208441138,0,0.00113894355146347,0,0,-0.000367096273937042,0.0240643809903,0,0,0,-0.00819245041288849,0,0,0,0,0,0,-0.000331984572424964,0,0,0,0,0.0254732629533247,0,0,-0.00374784760984924,0,0,0.0260821896108016,-0.00702939697171845,0,0,0,-0.0151276059346196,0,0,0,0,0,0,0,0.0185275563413444,-0.0191862301878419,-0.0119428975925235,0,0,0,0,0,0.0140450736527013,0,0.00518112251358112,0,0,0,0,0,0,0,-0.00426949643852757,0.00206289631674184,-0.025501398582495,0,0,-0.000169607074846454,0,0,0.0201129522388711,0.0131373016194135,0,0,0,-0.0169274702261734,0,0,-0.0280548692139571,0,0,0,0,0,0,-0.0315323277929532,0,0,0,0,0.0301811735858772,0,0,0,0,0,0,0.0057844253237924,-0.00403063488181388,0,-0.00177438441938747,0,-0.0291033127107659,0,0.00020268160782839,0,0.014527146551835,0,0,0.0191877603143344,0,0,-0.042783132518303,0,0.0135323429132554,0,0,0,0,0,-0.000354722110875923,-0.013655213291086,0,0,0,-0.0136545945288497
FAM92B,-0.0336795557876863,0,0,0,0,-0.00612669458648116,0.0101086414280599,0,0.000810901569385762,0,0,0.00372389777249196,0,0,-0.0630822034140374,-0.0326953737888288,0,0.00928984625227704,0.000659439237931762,-0.0171850891271372,0,0,0.0140039855686703,0,0.0335821572634344,0.00358006800233436,0,0,0,0.00201085555044441,0,0,0,0,0,0,0,0.027905462128475,0.000115207632787594,0,0,0,0,0.0165188755271634,0.0336977740649839,0,0,0,0,0.00217626049026837,-0.0212297532535269,0,0,0,-0.0215175493507516,0,0.0241331335392416,-0.0171698933181519,0.06040782407449,0,0.00133964320659836,0,0,-0.0645628333684999,0,0,0,0,0,-0.0188537630513327,0,0,0.0123913487018094,0,0,0.000286717587749214,0,0,0.00389617681195127,0,-0.0305227948860897,0,0,0,0,0,0,0,0,0,0,-0.0111147479994844,0.0206627586450033,-0.0390999729227326,0,-0.0228217824120867,0,0,0,-0.0163104035667824,0,0,0,0,0.000838771065298517,0,0,0,0,-0.0613644003308937,0,0,0,0,0,0,0,0,0,-0.0112459495175092,0,0,-0.0166930555927886,0,0,0,0,0.00844759628457273,-0.0194270018435237,0,0,0,0,0,0,0,-0.0245202704314865,0,0,0.00269121219083198,0,0,-0.0568576633737042,0,0,0,0,0,0,0.0256161814318018,0,0,0,0.017301943168454,0,0.0427040811655534,0.0247904430214381,0,0,0,-0.00160347685297735,0,0,0,0,0,0.000543541933540514,0,0,0.00146689790282447,0,0.0119884313853046,0,0,0,0,-0.0111616094704414,0.0367978767173254,0,0,0.0118439784138862,0,0,0,0,0,0,-0.042089758046495,-0.00273949116185077,0,0,-0.00190892108792325,0,0,0,0,0,0,0,0.0223766962846285,0,0.00247498103746509,0,0,0.00795742263351446,0,0,0,0,0,0,0,0,0.00468048524480364,-0.0145879237447449,0,0,0,0,0.0350443492693526,0,0,0,-0.00615639122003279,-0.0258810486539267,0,-0.00551723621714801,0,0,0,0,0,0,0,0,0,0,0,-0.0158502084906875,-0.0591704515729636,0.00109149782737723,0,0,0,0,0,0.000343357417547993,0.0138277716114713,0.00707473576968944,0,0,0,0,0,0,0,0,0,-0.025882561701001,0.000245656666840633,0,0.00751633131553669,0,0,-0.0198850426313034,-0.00218304670422668,0,0.00135971077005059,0,0,0,0,0,0,0,-0.0185549835042165,0.0217658376456479,-0.0103986064658126,0.013786868360762,0,0.0278867088578832,0,0,0,0,0,-0.0230168411497998,0,0,0,0,0,0,0,0,0.0423747896217743,0,0,0,0
AC104809.3,0,0,0,0.0348053837362512,0,0,0,0.000810901569385762,0.016243077726527,0,-0.00833522742938979,0.00754414921616255,0,0,0.04991447650843,0,0,0,0,0.0239994421615841,0,0,0.0182586274144962,0,0.00621540323685281,0.0143056040491693,0,0,0.000507911961441222,0,0.029722260234779,0,0,0.0202883796289809,0,0,-0.0144043435703558,0,0,0,0,0,0,0,0,0,0.0385140557316768,-0.0218061494057859,0,0,-0.0095623820614344,0,0,0,-0.0110313136704678,0.0145917546601819,0.00754533444414664,0,0,0,-0.0294254266351502,0,0,-0.0349575891817083,0,0,0,0,-8.94165889260036e-06,0.0141257943986202,0,0,0,0,0,0,-0.019133683916804,0,0.0260908367477355,-0.0170559794386612,0.0329604541037669,0,0,0,0,0,0,0.0130810435933066,0,0.0347625172833593,0,0,-0.03706855317982,0,-0.0064316097436952,-0.00495218502053218,0,0.0132160385145421,0,0,-0.00823043293172877,0,0,0,0,0,0,0,0,-0.0279030575134308,0,-0.0150313174557931,0,0,0.00894678754851151,-0.00823832739800287,0,0,0,0,-0.00552584916961252,0.0102978968192597,-0.0046927237851197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166638037423682,-0.0345942475000213,-0.00297511978511108,0.00293290670244063,0,0,0,0,0,0,0.00594606673688352,0,0,0,0,0,0,0,0,-0.00457942563339525,0,0,0,0,0,-0.028924060787846,0,0,0,0,0,-0.0441385791366521,0,0.000601805137963983,0,0,0,0,0,-0.0382973925656284,0.0211628502964265,0,0,0,0,0,0,0,0,0,-0.0206501699958476,0.000787853155562021,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0317725426121788,0,0,-0.0301518066540371,0,0,0,0,0,-0.0133460997188299,0,0,-0.0300527012259818,0,0.0268256250019993,0,0.00572104887109131,-0.0370580772563686,0,0,0.0506904648245715,0,-0.0399513905442594,0,0,0,0,0,-0.0364428271510813,0,0,0,-0.00823585876761514,-0.00139941820500178,0,0,0,0.00337574581667394,0,0,0,0.000742257157525546,0,0.0272006949721812,0,0,0,-0.00402209442279159,0,0,-0.00317094298968713,0,0,0,0,0,0,-0.0309680066343349,-0.0140003368998462,0,0,0,0,0,-0.0155758320793216,0,0,0,0,0.0266097271476748,-0.0175024805331584,0,0,-0.0088088687560068,0,-0.0331281754589826,0,0,0.0108180716212514,-0.0153760915511279,0,0,0,-0.0109627329288081,0,0,0,0,0,-0.00131782834961986,0,-0.0282173960438746,0,0,0,0,0,0
CCDC60,0,0,0,0.00790951284467177,0,0,0.00168211398981276,0,0,0.023673923844592,0,0,0,0,0,0,0,0,0,-0.0100337013540761,-0.00430168089713946,0.00450187474843972,0.00218307580246294,0,0.0195657808369278,0.0104049570971645,0,0,0.02607058465554,0,0,0.0020114143384074,0.0266807472894032,0.00618878980765092,0,0,0,0,0,0,0,0,0,0.00265207048221834,0.0278011399215161,0,0.0327381349072798,0,0,0.0475302913028952,0.0118445772020217,0,0,0,-0.0030822746483059,0.00745863027976605,0,0.00349624465205791,0,0,0,0,0,0,0,0,0,-0.000933312143610187,0,0,-0.00272669617270361,-0.00505715401151108,0,-0.000517578734145742,0,0,0,0.00113235817004914,0,0,0,0,0,0,0,0,0,0.00731457677757442,0,0.0068588832288452,0,0,0,0,-0.0418963352615147,0,0,0.0252250891176932,0,-0.0145243889631617,0,0,0,-0.000206266072463266,0,0.0169305688161327,0.0116252403598124,0,0,0,0,0,0,0,0,0,0,0,0,-0.0145769162793192,0,0,0,0,0.0165380308289316,0,0,0,0,0,0.029012439931891,0,0,0,0,0,0.00166382769556934,0.0178186690881074,0,0,0.0307730510789128,0.00591666309470111,-0.0269906252875042,0,0,0,0,0,-0.0431925676605735,0,0,0,0,0,0,0,0.0112773727797513,0,0,0,0,0,-0.0234027665793354,0,0,0,0,0,0,0,0,0,0,0,-0.00142332249646759,0,0,0,0,0,0.00721138233980031,0,0,0,0,0,0,0,0,-0.022459645839579,0.0215492014909999,0,0,0,0,0,0,0,0,0,0,-0.00150358640672641,0.0110157030650028,0,0,0,0,0,0.022222664887392,0,0,0,0,0.00233343059793065,-0.00117692208530052,0,0,0,0,0,0,0,0,0.00358115999919234,-0.00167701532059184,0.0147787848155418,0,0,0,0,0,0,0,0,0,0,-0.0155668178414326,0,0,0,0,0,0.0117037845201382,0,0,0,0,0,0,0,0,0,0.00474138837811737,0,0,0,0,0,0.0230489415400829,0,0,0,0,-0.0151285626811659,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0178391710384155,0.00630875878743624,0,0,0,0,0,0,0,0,0,0,0,0,-0.000760606571871559,0,0.000201703903651165,0,0,0,-0.0130518425278488,-0.0411152059222121,0
